TT	PID	AT	CT	IO_D	WT	RT	TRT
10614	189	311	191	48	10112	111	10303
10627	21	43	196	0	10388	11	10584
10629	198	326	292	0	10011	56	10303
10652	78	147	207	0	10298	206	10505
10677	235	386	205	0	10086	326	10291
10679	14	27	199	0	10453	18	10652
10719	195	321	284	0	10114	236	10398
10721	231	378	158	53	10185	215	10343
10728	84	158	237	0	10333	1	10570
10736	289	467	213	16	10056	545	10269
10748	113	196	188	0	10364	575	10552
10765	285	461	280	93	10024	596	10304
10789	169	278	287	0	10224	422	10511
10790	177	292	221	0	10277	122	10498
10791	34	62	294	0	10435	1	10729
10794	170	279	206	7	10309	542	10515
10814	207	341	259	0	10214	1	10473
10828	120	209	234	66	10385	558	10619
10845	50	99	280	21	10466	29	10746
10865	123	212	262	0	10391	98	10653
10880	224	366	289	0	10225	179	10514
10885	210	345	248	0	10292	600	10540
10906	216	357	270	12	10279	407	10549
10929	275	443	294	67	10192	310	10486
10940	36	68	292	45	10580	158	10872
Processes: 319

Avg WT=5838,		Avg RT=210,		Avg TRT=5988
Migration:		RTF = 0%		MaxW = 87% 
Work Steal: 98% 
Forked Process: 4% 
Killed Process: 2% 
Before Deadline: 4% 

Processors: 8 [3 FCFS, 0 SJF, 2 EDF, 3 RR]
Processor Load
p1=7%	p2=7%	p3=10%	p4=21%	p5=21%	p6=29%	p7=30%	p8=30%	

Processor Utilization
p1=24%	p2=25%	p3=32%	p4=88%	p5=89%	p6=92%	p7=95%	p8=95%	

Avg utilization = 67% 
